"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Pesona Setu Indah",". Jl. Setu, Setu, Bekasi, Jawa Barat","Rp","418 jt","2","1","45 m²","Rp 5.805.556 per m²","",""
"Rumah Cluster Full Bata Merah Bebas Banjir","Bebas semua biaya surat surat DP ringan, Mustikajaya, Bekasi, Jawa Barat","Rp","624,5 jt","2","2","51 m²","Rp 8.673.611 per m²","",""
"Cluster syariah","Jalan Karya logam Jatimulya, Bekasi Timur, Bekasi, Jawa Barat","Rp","539 jt","2","1","45 m²","Rp 8.983.333 per m²","",""
"Morizen Summarecon Bekasi Rumah 3 Lantai berkonsep Jepang","Jl Morizen, Summarecon Bekasi, Bekasi, Jawa Barat","Rp","4,30125 M","5","6","216 m²","Rp 26.882.812 per m²","",""
"Seven Residence Bekasi Timur","Jl.Caringin 2, Mustikasari Kota Bekasi, Bekasi Timur, Bekasi, Jawa Barat","Rp","750 jt","3","2","72 m²","Rp 7.500.000 per m²","",""
"Mutiara Gading City","Jl. Kaliabang Tengah, Bekasi, Jawa Barat","Rp","370 jt","3","1","42 m²","Rp 5.285.714 per m²","",""
"Kota Harapan Indah","Jl Bekasi Raya, Bekasi, Bekasi, Jawa Barat","Rp","400 jt","3","1","42 m²","Rp 5.555.556 per m²","",""
"Kota Harapan Indah","Jl Bekasi Raya, Bekasi, Bekasi, Jawa Barat","Rp","400 jt","3","1","42 m²","Rp 5.555.556 per m²","",""
"Harapan Indah",". Jl Bekasi Raya, Medan Satria, Bekasi, Medan Satria, Bekasi, Jawa Barat","Rp","400 jt","3","1","42 m²","Rp 5.555.556 per m²","",""
"Jatisari Luxury Residence - Cluster Premium dan Eklusif untuk Milenial","Bekasi Selatan, Bekasi, Jawa Barat","Rp","795 jt","3","2","62 m²","Rp 13.250.000 per m²","",""
"Kota Serang Baru",". Jl. Raya Cibarusah, Cikarang, Cikarang, Bekasi, Jawa Barat","Rp","446,6828 jt","2","1","40 m²","Rp 7.444.713 per m²","",""
