"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 3,99 Miliar","Permata Buana, Jakarta Barat","3","3","1","136 m²","200 m²"
"Rp 2,5 Miliar","Jelambar, Jakarta Barat","3","2","1","117 m²","150 m²"
"Rp 11,8 Miliar","Kebayoran Lama, Jakarta Selatan","57","57","2","491 m²","1500 m²"
"Rp 4,6 Miliar","Permata Buana, Jakarta Barat","4","2","3","200 m²","200 m²"
"Rp 4,85 Miliar","Permata Buana, Jakarta Barat","5","4","","144 m²","310 m²"
"Rp 5,7 Miliar","Muara Karang, Jakarta Utara","3","3","3","190 m²","225 m²"
"Rp 8,5 Miliar","Jelambar, Jakarta Barat","5","5","4","608 m²","377 m²"
"Rp 1,35 Miliar","Jelambar, Jakarta Barat","3","3","","36 m²","73 m²"
"Rp 2,5 Miliar","Jelambar, Jakarta Barat","3","2","","117 m²","150 m²"
"Rp 8,5 Miliar","Jelambar, Jakarta Barat","4","4","","377 m²","570 m²"
"Rp 5 Miliar","Pluit, Jakarta Utara","","","","160 m²","240 m²"
"Rp 28 Miliar","Permata Hijau, Jakarta Selatan","4","4","","560 m²","600 m²"
"Rp 33 Miliar","Menteng, Jakarta Pusat","","","","454 m²","250 m²"
"Rp 4 Miliar","Jagakarsa, Jakarta Selatan","3","3","2","279 m²","210 m²"
"Rp 2,4 Miliar","Jagakarsa, Jakarta Selatan","4","4","2","150 m²","250 m²"
"Rp 4,5 Miliar","Jagakarsa, Jakarta Selatan","3","4","2","277 m²","310 m²"
"Rp 7 Miliar","Kelapa Gading, Jakarta Utara","3","3","","120 m²","168 m²"
"Rp 1,55 Miliar","Cakung, Jakarta Timur","3","3","1","69 m²","74 m²"
"Rp 3,65 Miliar","Cilandak, Jakarta Selatan","3","3","2","127 m²","142 m²"
"Rp 15 Miliar","Cilandak, Jakarta Selatan","5","6","4","500 m²","550 m²"
"Rp 150 Miliar","Pondok Indah, Jakarta Selatan","5","6","2","1900 m²","850 m²"
"Rp 8,3 Miliar","Kemang, Jakarta Selatan","4","4","","320 m²","250 m²"
"Rp 6,8 Miliar","Kemang, Jakarta Selatan","4","3","2","200 m²","250 m²"
"Rp 9,5 Miliar","Kemang, Jakarta Selatan","4","3","2","552 m²","200 m²"
"Rp 8,7 Miliar","Kemang, Jakarta Selatan","4","4","1","207 m²","360 m²"
"Rp 9,9 Miliar","Kemang, Jakarta Selatan","3","3","","315 m²","600 m²"
"Rp 10,9 Miliar","Kemang, Jakarta Selatan","6","7","","449 m²","500 m²"
"Rp 4,85 Miliar","Puri Mansion, Jakarta Barat","","","","200 m²","450 m²"
"Rp 32 Miliar","Terogong, Jakarta Selatan","5","4","","895 m²","800 m²"
"Rp 6 Miliar","Permata Buana, Jakarta Barat","4","3","2","120 m²","350 m²"
"Rp 8 Miliar","Permata Buana, Jakarta Barat","4","3","2","250 m²","370 m²"
"Rp 15 Miliar","Kebayoran Baru, Jakarta Selatan","7","7","2","268 m²","300 m²"
"Rp 60 Miliar","Kebayoran Baru, Jakarta Selatan","8","5","5","938 m²","458 m²"
"Rp 10,5 Miliar","Kebayoran Baru, Jakarta Selatan","3","2","1","200 m²","150 m²"
"Rp 3 Miliar","Jagakarsa, Jakarta Selatan","5","4","2","126 m²","250 m²"
"Rp 1,7 Miliar","Jagakarsa, Jakarta Selatan","4","4","","77 m²","140 m²"
"Rp 2,9 Miliar","Jagakarsa, Jakarta Selatan","4","4","2","92 m²","230 m²"
"Rp 2,55 Miliar","Jagakarsa, Jakarta Selatan","4","3","2","105 m²","150 m²"
"Rp 2,5 Miliar","Jagakarsa, Jakarta Selatan","4","3","1","120 m²","220 m²"
"Rp 1,52 Miliar","Jagakarsa, Jakarta Selatan","4","4","1","77 m²","130 m²"
"Rp 29 Miliar","Kelapa Gading, Jakarta Utara","4","4","","360 m²","1200 m²"
"Rp 4 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","120 m²","130 m²"
"Rp 5,7 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","160 m²","200 m²"
"Rp 7 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","160 m²","220 m²"
"","","3","3","","46 m²","84 m²"
"Rp 17 Miliar","Jelambar, Jakarta Barat","5","5","6","676 m²","1638 m²"
