"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Jual Rumah Seken Terawat Strategis Dekat Beji Harga All In Bisa Nego Siap KPR","Grand Depok City Cluster Acacia, Beji, Depok, Jawa Barat","Rp","1,08 M","2","1","70 m²","Rp 12.000.000 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Cinere Depok Harga All In Bisa Nego Siap KPR","Villa Inti Persada, Cinere, Depok, Jawa Barat","Rp","1,68 M","3","2","88 m²","Rp 11.052.632 per m²","",""
"Jual Rumah Siap Huni Strategis Di Griya Cinere Asri Harga All In Bisa Nego Siap KPR","Griya Cinere Asri, Limo, Depok, Jawa Barat","Rp","930 jt","2","2","55 m²","Rp 10.219.780 per m²","",""
"Jual Rumah Siap Huni di Diamond Golden Cinere Depok Harga All In Bisa Nego Siap KPR","Diamond Golden Cinere, Cinere, Depok, Jawa Barat","Rp","990 jt","3","3","75 m²","Rp 10.312.500 per m²","",""
"Jual Rumah Strategis Di Victoria Hills Residence Dekat Beji Depok Harga All In Siap KPR","Victoria Hills Residence, Beji, Depok, Jawa Barat","Rp","1,5 M","3","3","88 m²","Rp 17.857.143 per m²","",""
"Jual Rumah Seken Terawat Strategis Dekat Margonda Harga All In Bisa Nego Siap KPR","Pondok Mandala 1, Margonda, Depok, Jawa Barat","Rp","1,05 M","5","2","154 m²","Rp 12.650.602 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Bojongsari Harga All In Bisa KPR DP Ringan","Permata Hill Residence, Bojongsari, Depok, Jawa Barat","Rp","500 jt","2","1","36 m²","Rp 7.352.941 per m²","",""
"Jual Rumah Minimalis Siap Huni di Taman Sukahati Permai Harga All In Bisa Nego Siap KPR","Taman Sukahati Permai, Cilodong, Depok, Jawa Barat","Rp","810 jt","2","1","45 m²","Rp 7.714.286 per m²","",""
"Jual Rumah Bebas Banjir Strategis Dekat Beji Harga All In Bisa Nego Siap KPR","Pondok Mandala 1, Beji, Depok, Jawa Barat","Rp","1,05 M","5","2","154 m²","Rp 12.650.602 per m²","",""
"Jual Rumah Siap Huni Strategis di Margo Residence 1 Harga All In Bisa Nego Siap KPR","Margo Residence 1, Sukma Jaya, Depok, Jawa Barat","Rp","900 jt","2","2","45 m²","Rp 10.000.000 per m²","",""
"Jual Rumah Siap Huni Strategis Di Graha 2 Cinere Harga Nego Biaya All In Siap KPR","Graha 2 Cinere, Cinere, Depok, Jawa Barat","Rp","1,92 M","2","3","160 m²","Rp 11.497.006 per m²","",""
"Jual Rumah Siap Huni Strategis di Graha 2 Cinere Depok Harga Nego Biaya All In Siap KPR","Graha 2 Cinere, Limo, Depok, Jawa Barat","Rp","1,92 M","2","3","160 m²","Rp 11.497.006 per m²","",""
"Jual Rumah Asri Siap Huni Strategis Dekat Margonda Depok Harga Nego Biaya All In Siap KPR","Grand Depok City Cluster Acacia, Margonda, Depok, Jawa Barat","Rp","4,2 M","3","4","120 m²","Rp 21.649.485 per m²","",""
"Dijual Rumah Strategis Dekat Cinere Bebas Banjir Harga All In Bisa Nego Siap KPR","Cinere, Depok, Jawa Barat","Rp","2,64 M","4","4","140 m²","Rp 24.000.000 per m²","",""
"Jual Rumah Strategis Bebas Banjir Dekat Cinere Harga Nego Bisa KPR Biaya All in","Cinere, Depok, Jawa Barat","Rp","1,41 M","3","3","180 m²","Rp 12.589.286 per m²","",""
"Jual Rumah Bebas Banjir Strategis Dekat Cinere Harga Nego Biaya All In Siap KPR","Bukit Griya Cinere, Jl. Biola, Cinere, Depok, Jawa Barat","Rp","1,56 M","3","3","140 m²","Rp 21.666.667 per m²","",""
"Jual Rumah Siap Huni Strategis Di Permata Cimanggis Depok Harga All In Siap KPR","Permata Cimanggis Cluster Safir, Cilodong, Depok, Jawa Barat","Rp","850 jt","2","1","60 m²","Rp 9.444.444 per m²","",""
"Jual Rumah Siap Huni Strategis Di Perumahan Green Garden 2 Dekat Limo Harga All In Siap KPR","Perumahan Green Garden 2, Limo, Depok, Jawa Barat","Rp","500 jt","2","1","75 m²","Rp 6.666.667 per m²","",""
"Jual Rumah Minimalis Strategis Dekat Cilodong Depok Harga Nego Biaya All In Siap KPR","Cluster Grand Orchid, Cilodong, Depok, Jawa Barat","Rp","780 jt","2","1","50 m²","Rp 10.400.000 per m²","",""
"Jual Cepat Rumah Siap Huni Strategis di Gandul Cinere Depok Harga All In Siap KPR","Cinere, Depok, Jawa Barat","Rp","1,655 M","3","3","110 m²","Rp 21.217.949 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Beji Depok Harga All In Siap KPR","Bukit Griya Cinere, Beji, Depok, Jawa Barat","Rp","1,56 M","3","3","140 m²","Rp 21.666.667 per m²","",""
"Jual Rumah Siap Huni Strategis Dekat Beji Harga Nego Biaya All In Siap KPR","Grand Depok City, Beji, Depok, Jawa Barat","Rp","2,28 M","4","4","200 m²","Rp 12.666.667 per m²","",""
"Jual Rumah Siap Huni Strategis Di Sawangan Depok Harga Nego Biaya All In Siap KPR","Jalan Cempaka, Sawangan, Depok, Jawa Barat","Rp","990 jt","3","1","125 m²","Rp 6.600.000 per m²","",""
"Harrington Residence","Jl  bungsan sawangan Jl. Bungsan sawangan depok, Sawangan, Depok, Jawa Barat","Rp","500 jt","2","1","46 m²","Rp 5.952.381 per m²","",""
"Jual Rumah Minimalis Strategis di Pahlawan Residence Dekat Limo Depok Harga All In Nego Siap KPR","Pahlawan Residence, Limo, Depok, Jawa Barat","Rp","1,56 M","3","2","90 m²","Rp 14.311.927 per m²","",""
"Jual Rumah Murah Strategis di Palas Asri Town House Harga All In Siap KPR","Citayam, Depok, Jawa Barat","Rp","500 jt","2","1","45 m²","Rp 6.024.096 per m²","",""
"Dijual Rumah Minimalis Asri di Tapos Depok Harga Nego Biaya All in Terima Beres Bebas Banjir","Jalan Cilangkap, Tapos, Depok, Jawa Barat","Rp","1,5 M","3","3","104 m²","Rp 9.146.341 per m²","",""
"Jual Rumah Minimalis 2 Lantai Siap Huni Harga Nego di Limo Residence Depok Biaya All in Siap KPR","Limo, Depok, Jawa Barat","Rp","2,04 M","2","2","150 m²","Rp 18.053.097 per m²","",""
"Jual Rumah Strategis Di Permata Depok Regency Dekat Beji Harga All In Siap KPR DP Ringan","Permata Depok Regency, Beji, Depok, Jawa Barat","Rp","660 jt","2","1","50 m²","Rp 9.565.217 per m²","",""
