"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 999 Juta","Bekasi Utara, Bekasi","3","2","1","75 m²","99 m²"
"Rp 750 Juta","Komsen, Bekasi","2","2","2","65 m²","53 m²"
"Rp 750 Juta","Jati Asih, Bekasi","3","2","2","72 m²","63 m²"
"Rp 4,65 Miliar","Summarecon Bekasi, Bekasi","5","4","2","325 m²","196 m²"
"Rp 1,8 Miliar","Bekasi Kota, Bekasi","4","2","","144 m²","300 m²"
"Rp 800 Juta","Jatibening, Bekasi","3","2","","120 m²","200 m²"
"Rp 2,75 Miliar","Summarecon Bekasi, Bekasi","3","3","1","162 m²","162 m²"
"Rp 2,15 Miliar","Jaka Setia, Bekasi","4","3","1","160 m²","150 m²"
"Rp 4,65 Miliar","Summarecon Bekasi, Bekasi","5","4","1","225 m²",""
"Rp 1,1 Miliar","Medan Satria, Bekasi","3","2","1","138 m²","90 m²"
"Rp 4,7 Miliar","Harapan Indah, Bekasi","4","4","2","307 m²","192 m²"
"Rp 4,5 Miliar","Summarecon Bekasi, Bekasi","4","3","2","328 m²","196 m²"
"Rp 2,7 Miliar","Summarecon Bekasi, Bekasi","3","3","2","136 m²","200 m²"
"Rp 1,99 Miliar","Pondok Gede, Bekasi","3","3","","178 m²","110 m²"
"Rp 950 Juta","Duta Harapan, Bekasi","3","2","1","66 m²","87 m²"
"Rp 990 Juta","Bekasi Timur, Bekasi","3","2","1","220 m²","123 m²"
"Rp 1,18 Miliar","Cibubur, Bekasi","3","3","2","84 m²","77 m²"
"Rp 355 Juta","Setu, Bekasi","2","1","1","60 m²","38 m²"
"Rp 600 Juta","Jati Asih, Bekasi","2","1","","72 m²","50 m²"
"Rp 807 Juta","Jati Asih, Bekasi","3","2","1","42 m²","63 m²"
"Rp 1,2 Miliar","Jaka Sampurna, Bekasi","3","1","1","107 m²","90 m²"
"Rp 400 Juta","Pondok Ungu, Bekasi","","","","93 m²","93 m²"
"Rp 1,25 Miliar","Galaxy, Bekasi","4","2","","165 m²","150 m²"
"Rp 1,18 Miliar","Cibubur, Bekasi","3","2","2","84 m²","77 m²"
"Rp 490 Juta","Jati Sari, Bekasi","2","1","1","66 m²","30 m²"
"Rp 900 Juta","Cikarang Selatan, Bekasi","4","1","","161 m²","112 m²"
"","","3","2","","60 m²","75 m²"
"Rp 1,2 Miliar","Harapan Indah, Bekasi","3","3","1","108 m²","69 m²"
"Rp 1,4 Miliar","Bekasi, Bekasi","4","3","2","84 m²","105 m²"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","4","3","2","77 m²","84 m²"
"Rp 695 Juta","Cibubur, Bekasi","3","2","1","54 m²","55 m²"
"Rp 480 Juta","Mustikasari, Bekasi","2","1","1","73 m²","45 m²"
"Rp 650 Juta","Harapan Indah, Bekasi","4","2","2","121 m²","100 m²"
