"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 662 Juta","Cimanggis, Depok","2","2","1","40 m²","52 m²"
"Rp 622 Juta","Sawangan, Depok","2","2","1","52 m²","63 m²"
"Rp 506 Juta","Cilangkap, Depok","2","2","1","40 m²","46 m²"
"Rp 850 Juta","Sukmajaya, Depok","2","1","1","83 m²","50 m²"
"Rp 875 Juta","Limo, Depok","2","1","1","129 m²","36 m²"
"Rp 3,9 Miliar","Pancoran Mas, Depok","5","3","2","130 m²","380 m²"
"Rp 4,8 Miliar","Cinere, Depok","4","3","1","500 m²","250 m²"
"Rp 1,3 Miliar","Cinere, Depok","2","2","","108 m²","65 m²"
"Rp 950 Juta","Sukmajaya, Depok","3","3","1","80 m²","80 m²"
"Rp 500 Juta","Cibubur, Depok","2","1","1","50 m²","30 m²"
"Rp 770 Juta","Cilodong, Depok","2","1","1","100 m²","90 m²"
"Rp 2,9 Miliar","Cimanggis, Depok","4","3","1","197 m²","300 m²"
