km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
5,5,0,1000.0,1400.0,Jakarta,95000000000
3,2,1,193.0,283.0,Jakarta,4300000000
6,6,2,800.0,810.0,Jakarta,100000000000
3,4,0,391.0,186.0,Jakarta,6500000000
3,2,1,200.0,240.0,Jakarta,5500000000
2,2,0,54.0,45.0,Jakarta,11843707482
4,3,2,209.0,173.0,Jakarta,2250000000
4,4,0,200.0,114.0,Jakarta,4200000000
7,3,0,200.0,145.0,Jakarta,3650000000
2,2,0,60.0,48.0,Jakarta,2500000000
4,4,1,148.0,64.0,Jakarta,2400000000
4,3,2,209.0,173.0,Jakarta,2250000000
3,3,2,450.0,200.0,Jakarta,4500000000
5,4,2,400.0,360.0,Jakarta,8990000000
4,4,2,200.0,150.0,Jakarta,4900000000
3,3,1,220.0,160.0,Jakarta,7000000000
4,2,2,240.0,120.0,Jakarta,2950000000
20,14,0,275.0,91.0,Jakarta,5350000000
3,3,0,200.0,203.0,Jakarta,5000000000
4,6,0,700.0,570.0,Jakarta,17000000000
4,3,10,450.0,445.0,Jakarta,17500000000
5,5,4,600.0,928.0,Jakarta,13000000000
3,3,1,250.0,298.0,Jakarta,8000000000
4,4,4,998.0,430.0,Jakarta,27500000000
3,2,1,126.0,104.0,Jakarta,3650000000
6,6,4,1736.0,1770.0,Jakarta,177000000000
4,3,0,300.0,343.0,Jakarta,11500000000
3,3,0,160.0,128.0,Jakarta,3000000000
5,7,0,350.0,475.0,Jakarta,11000000000
4,5,4,416.0,486.0,Jakarta,20000000000
3,3,2,130.0,120.0,Jakarta,2900000000
4,4,0,196.0,105.0,Jakarta,3590000000
2,2,0,144.0,72.0,Jakarta,1500000000
3,3,2,450.0,230.0,Jakarta,10300000000
3,2,1,75.0,102.0,Jakarta,1750000000
4,3,2,450.0,320.0,Jakarta,8000000000
4,3,2,190.0,127.0,Jakarta,2800000000
6,4,0,500.0,249.0,Jakarta,7950000000
4,4,2,180.0,160.0,Jakarta,5950000000
4,3,2,170.0,120.0,Jakarta,3000000000
4,3,1,120.0,42.0,Jakarta,1500000000
5,3,0,220.0,144.0,Jakarta,2750000000
3,2,0,100.0,97.0,Jakarta,2000000000
5,3,0,480.0,478.0,Jakarta,9800000000
4,4,1,250.0,320.0,Jakarta,7800000000
4,3,1,120.0,120.0,Jakarta,2600000000
3,3,2,120.0,90.0,Jakarta,2400000000
4,3,1,177.0,117.0,Jakarta,2600000000
3,3,2,310.0,163.0,Jakarta,5150000000
4,2,0,132.0,60.0,Jakarta,1490000000
4,4,2,600.0,486.0,Jakarta,25000000000
3,3,2,130.0,92.0,Jakarta,1290000000
4,3,2,165.0,114.0,Jakarta,2850000000
4,3,0,134.0,108.0,Jakarta,2800000000
7,4,3,400.0,200.0,Jakarta,4100000000
3,2,1,120.0,97.0,Jakarta,2340000000
5,5,0,680.0,915.0,Jakarta,45000000000
3,2,1,160.0,217.0,Jakarta,3300000000
3,3,2,150.0,122.0,Jakarta,4900000000
3,2,1,80.0,80.0,Jakarta,2500000000
3,3,1,240.0,120.0,Jakarta,5500000000
5,5,4,2800.0,1000.0,Jakarta,85000000000
4,3,1,200.0,162.0,Jakarta,4500000000
3,1,0,220.0,80.0,Jakarta,2300000000
15,4,0,200.0,42.0,Jakarta,1000000000
1,2,0,45.0,325.0,Jakarta,2300000000
50,50,0,2417.0,517.0,Jakarta,30000000000
4,4,2,280.0,162.0,Jakarta,4500000000
