km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,umr,jlh-pdk,harga
6,4,0,200,120,Jakarta,46411056,11249787,3350000000
6,6,2,230,179,Jakarta,46411057,11249788,3000000000
6,8,1,500,290,Jakarta,46411058,11249789,10900000000
6,5,4,500,1197,Jakarta,46411059,11249790,20900000000
6,3,3,300,136,Jakarta,46411060,11249791,6800000000
6,1,1,700,270,Jakarta,46411061,11249792,10500000000
6,5,2,120,90,Jakarta,46411062,11249793,3000000000
6,4,2,750,395,Jakarta,46411063,11249794,33000000000
6,4,0,500,519,Jakarta,46411064,11249795,41000000000
6,4,3,200,150,Jakarta,46411065,11249796,2600000000
6,4,0,800,503,Jakarta,46411066,11249797,19000000000
6,4,4,1500,1305,Jakarta,46411067,11249798,1.75E+11
6,4,1,110,39,Jakarta,46411068,11249799,1590000000
6,6,8,400,1080,Jakarta,46411069,11249800,13500000000
6,5,4,800,1225,Jakarta,46411070,11249801,1E+11
6,4,6,1200,1305,Jakarta,46411071,11249802,1.75E+11
6,4,0,800,400,Jakarta,46411072,11249803,27500000000
6,6,1,300,200,Jakarta,46411073,11249804,4800000000
6,4,1,200,136,Jakarta,46411074,11249805,3990000000
6,4,1,150,117,Jakarta,46411075,11249806,2500000000
6,4,3,200,200,Jakarta,46411076,11249807,4600000000
6,3,0,310,144,Jakarta,46411077,11249808,4850000000
6,3,3,225,190,Jakarta,46411078,11249809,5700000000
6,4,4,377,608,Jakarta,46411079,11249810,8500000000
6,6,0,73,36,Jakarta,46411080,11249811,1350000000
6,3,0,150,117,Jakarta,46411081,11249812,2500000000
6,6,0,570,377,Jakarta,46411082,11249813,8500000000
6,2,0,600,560,Jakarta,46411083,11249814,28000000000
5,1,2,210,279,Jakarta,46411084,11249815,4000000000
5,6,2,250,150,Jakarta,46411085,11249816,2400000000
5,4,2,310,277,Jakarta,46411086,11249817,4500000000
5,5,0,168,120,Jakarta,46411087,11249818,7000000000
5,4,1,74,69,Jakarta,46411088,11249819,1550000000
